City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Souillac,MU,2022-12-19 20:28:24,-20.5167,57.5167,75.58,83,40,6.91
1,Albany,US,2022-12-19 20:24:24,42.6001,-73.9662,34.57,69,52,3.0
2,Kodiak,US,2022-12-19 20:28:24,57.79,-152.4072,29.71,64,0,16.11
3,Port Alfred,ZA,2022-12-19 20:28:25,-33.5906,26.891,67.17,84,97,5.99
4,Vaini,TO,2022-12-19 20:28:25,-21.2,-175.2,82.56,83,40,5.75
5,Busselton,AU,2022-12-19 20:28:25,-33.65,115.3333,65.8,55,0,9.26
6,Kargopol,RU,2022-12-19 20:28:26,61.5071,38.9456,15.73,97,100,2.66
7,Rikitea,PF,2022-12-19 20:28:26,-23.1203,-134.9692,76.96,83,100,18.19
8,Namatanai,PG,2022-12-19 20:28:27,-3.6667,152.4333,78.15,83,89,3.85
9,Ushuaia,AR,2022-12-19 20:26:50,-54.8,-68.3,65.82,45,0,9.22
10,Edd,ER,2022-12-19 20:28:27,13.9297,41.6925,81.01,45,1,13.76
11,Thompson,CA,2022-12-19 20:26:41,55.7435,-97.8558,-9.24,64,100,9.22
12,Bataipora,BR,2022-12-19 20:26:38,-22.2953,-53.2711,79.97,68,85,4.36
13,Atuona,PF,2022-12-19 20:28:27,-9.8,-139.0333,78.3,79,100,19.04
14,Arraial Do Cabo,BR,2022-12-19 20:26:46,-22.9661,-42.0278,73.36,78,100,10.36
15,Ribeira Grande,PT,2022-12-19 20:28:28,38.5167,-28.7,64.8,88,40,23.0
16,Henties Bay,NA,2022-12-19 20:26:57,-22.116,14.2845,62.1,92,0,4.94
17,Adre,TD,2022-12-19 20:28:28,13.4667,22.2,71.08,22,40,7.61
18,Sitka,US,2022-12-19 20:28:29,57.0531,-135.33,21.09,35,20,10.36
19,Geraldton,AU,2022-12-19 20:28:29,-28.7667,114.6,75.61,53,100,11.5
20,Bredasdorp,ZA,2022-12-19 20:28:29,-34.5322,20.0403,63.7,70,57,5.84
21,Kavaratti,IN,2022-12-19 20:28:30,10.5669,72.642,81.14,70,100,6.82
22,Cape Town,ZA,2022-12-19 20:24:36,-33.9258,18.4232,67.1,66,20,11.5
23,Yellowknife,CA,2022-12-19 20:28:30,62.456,-114.3525,-17.88,76,75,2.3
24,Erzin,TR,2022-12-19 20:28:31,36.9559,36.2,58.14,52,74,3.98
25,Imbituba,BR,2022-12-19 20:25:47,-28.24,-48.6703,72.86,94,100,19.22
26,Portmore,JM,2022-12-19 20:28:31,17.9702,-76.8672,88.05,67,40,20.71
27,Punta Arenas,CL,2022-12-19 20:25:04,-53.15,-70.9167,64.51,36,0,17.27
28,Jamestown,US,2022-12-19 20:28:32,42.097,-79.2353,29.79,70,100,13.8
29,Saskylakh,RU,2022-12-19 20:28:32,71.9167,114.0833,-5.03,98,100,8.55
30,Puerto Ayora,EC,2022-12-19 20:28:33,-0.7393,-90.3518,84.16,86,61,7.0
31,Yarmouth,US,2022-12-19 20:28:33,41.7057,-70.2286,42.1,54,75,28.01
32,Isangel,VU,2022-12-19 20:28:33,-19.55,169.2667,82.51,78,20,2.3
33,Gonbad-E Qabus,IR,2022-12-19 20:28:34,37.25,55.1672,40.91,93,0,1.14
34,Carnarvon,AU,2022-12-19 20:28:34,-24.8667,113.6333,72.54,84,0,6.98
35,Megion,RU,2022-12-19 20:28:34,61.0296,76.1136,3.22,94,100,15.55
36,Hobart,AU,2022-12-19 20:27:08,-42.8794,147.3294,54.05,87,75,3.44
37,Esna,EG,2022-12-19 20:28:35,25.2934,32.554,66.22,30,9,9.37
38,Mogok,MM,2022-12-19 20:28:35,22.9167,96.5,54.27,85,23,2.57
39,Asau,RO,2022-12-19 20:28:36,46.4333,26.4,18.52,55,2,2.35
40,Guymon,US,2022-12-19 20:28:36,36.6828,-101.4816,46.4,36,0,19.57
41,Berdigestyakh,RU,2022-12-19 20:28:36,62.0989,126.6992,-31.72,100,93,2.91
42,Porto Santo,PT,2022-12-19 20:28:37,33.072,-16.3415,68.38,88,75,12.66
43,Rasra,IN,2022-12-19 20:28:37,25.85,83.85,56.59,48,17,5.95
44,Bluff,NZ,2022-12-19 20:28:37,-46.6,168.3333,51.08,70,100,13.87
45,Langsa,ID,2022-12-19 20:29:38,4.4683,97.9683,73.49,98,100,1.97
46,Molln,DE,2022-12-19 20:29:38,53.6333,10.6833,44.47,84,100,8.05
47,Indramayu,ID,2022-12-19 20:29:38,-6.3264,108.32,79.41,78,55,1.48
48,Ilulissat,GL,2022-12-19 20:29:39,69.2167,-51.1,21.22,42,40,13.8
49,Castro,BR,2022-12-19 20:29:40,-24.7911,-50.0119,66.97,82,100,6.42
50,The Valley,AI,2022-12-19 20:29:40,18.217,-63.0578,82.26,78,20,12.66
51,Klaksvik,FO,2022-12-19 20:29:40,62.2266,-6.589,45.52,99,100,14.18
52,Grindavik,IS,2022-12-19 20:29:41,63.8424,-22.4338,28.35,74,40,40.29
53,Itaituba,BR,2022-12-19 20:29:42,-4.2761,-55.9836,84.36,74,75,5.75
54,Mar Del Plata,AR,2022-12-19 20:29:11,-38.0023,-57.5575,80.83,80,0,21.0
55,Cikupa,ID,2022-12-19 20:29:43,-6.2364,106.5083,80.37,81,20,2.59
56,Virginia Beach,US,2022-12-19 20:26:56,36.8529,-75.978,44.06,47,75,10.36
57,Mana,GF,2022-12-19 20:29:44,5.6592,-53.7767,74.1,95,100,8.46
58,Berlevag,NO,2022-12-19 20:29:44,70.8578,29.0864,33.8,74,75,14.97
59,North Bay,CA,2022-12-19 20:29:20,46.3168,-79.4663,24.12,82,100,8.05
60,Harbour Breton,CA,2022-12-19 20:29:45,47.4833,-55.7983,36.66,96,100,23.42
61,Itarema,BR,2022-12-19 20:29:46,-2.9248,-39.9167,81.73,65,62,16.42
62,Rorvik,NO,2022-12-19 20:29:47,64.8621,11.2373,30.31,64,0,9.22
63,Hilo,US,2022-12-19 20:29:47,19.7297,-155.09,76.28,83,100,4.61
64,Yar-Sale,RU,2022-12-19 20:28:25,66.8333,70.8333,-0.27,100,100,8.46
65,Victoria,HK,2022-12-19 20:25:33,22.2855,114.1577,60.24,77,79,11.99
66,Ranong,TH,2022-12-19 20:29:48,9.9658,98.6348,75.43,76,88,9.42
67,Hithadhoo,MV,2022-12-19 20:29:48,-0.6,73.0833,80.98,73,100,12.06
68,Tuktoyaktuk,CA,2022-12-19 20:29:48,69.4541,-133.0374,-22.0,76,40,4.61
69,Mataura,NZ,2022-12-19 20:29:49,-46.1927,168.8643,48.61,92,100,2.53
70,Cidreira,BR,2022-12-19 20:29:49,-30.1811,-50.2056,68.94,90,100,20.11
71,Kuching,MY,2022-12-19 20:29:49,1.55,110.3333,79.09,93,40,0.0
72,Kirakira,SB,2022-12-19 20:29:50,-10.4544,161.9205,80.69,83,28,5.55
73,Bethel,US,2022-12-19 20:29:50,41.3712,-73.414,37.54,59,100,10.36
74,Coihaique,CL,2022-12-19 20:29:50,-45.5752,-72.0662,70.41,50,100,4.68
75,Coquimbo,CL,2022-12-19 20:27:03,-29.9533,-71.3436,67.73,68,20,12.66
76,Ancud,CL,2022-12-19 20:29:51,-41.8697,-73.8203,61.21,60,100,8.39
77,Ambilobe,MG,2022-12-19 20:29:51,-13.2,49.05,76.15,87,97,2.71
78,Olafsvik,IS,2022-12-19 20:29:52,64.8945,-23.7142,27.91,71,100,50.76
79,Mangai,CD,2022-12-19 20:29:52,-4.05,19.5333,70.23,98,99,1.25
80,Maine-Soroa,NE,2022-12-19 20:29:52,13.2114,12.0241,70.54,23,8,8.48
81,Monrovia,LR,2022-12-19 20:29:53,6.3005,-10.7969,79.83,78,71,7.34
82,Barranca,PE,2022-12-19 20:29:53,-10.75,-77.7667,74.7,68,50,9.04
83,Goderich,CA,2022-12-19 20:29:53,43.7501,-81.7165,32.92,69,100,12.66
84,Tak Bai,TH,2022-12-19 20:29:53,6.2595,102.0546,77.07,93,100,11.07
85,Kieta,PG,2022-12-19 20:29:54,-6.2167,155.6333,79.2,84,100,3.09
86,Boden,SE,2022-12-19 20:29:54,65.8252,21.6886,-0.4,96,100,3.6
87,Saint-Philippe,RE,2022-12-19 20:29:55,-21.3585,55.7679,78.39,78,56,13.6
88,Harper,LR,2022-12-19 20:29:55,4.375,-7.7169,79.43,81,22,7.56
89,Ponta Do Sol,PT,2022-12-19 20:29:55,32.6667,-17.1,72.01,94,99,10.49
90,Airai,TL,2022-12-19 20:29:56,-8.9266,125.4092,60.91,93,100,1.28
91,Emerald,AU,2022-12-19 20:30:56,-23.5333,148.1667,66.34,84,1,14.16
92,Ekhabi,RU,2022-12-19 20:30:56,53.5102,142.9671,-5.91,87,100,21.85
93,Bilma,NE,2022-12-19 20:30:57,18.6853,12.9164,68.59,29,67,8.16
94,Wajir,KE,2022-12-19 20:30:57,1.7471,40.0573,82.26,24,7,9.82
95,Butaritari,KI,2022-12-19 20:30:58,3.0707,172.7902,80.67,82,25,16.82
96,Longyearbyen,SJ,2022-12-19 20:30:58,78.2186,15.6401,13.84,73,75,10.36
97,Broome,US,2022-12-19 20:30:59,42.2506,-75.833,32.9,75,100,8.05
98,Fairbanks,US,2022-12-19 20:30:59,64.8378,-147.7164,-23.4,71,20,0.0
99,Anadyr,RU,2022-12-19 20:31:00,64.75,177.4833,28.9,86,100,35.79
100,Port Elizabeth,ZA,2022-12-19 20:31:00,-33.918,25.5701,65.1,88,75,13.8
101,Tiksi,RU,2022-12-19 20:31:01,71.6872,128.8694,-12.42,97,70,9.33
102,Beloha,MG,2022-12-19 20:31:02,-25.1667,45.05,73.94,88,100,8.79
103,Port Blair,IN,2022-12-19 20:31:02,11.6667,92.75,80.64,69,40,8.05
104,Filadelfia,US,2022-12-19 20:27:25,39.9523,-75.1638,37.06,58,100,14.97
105,Donegal,IE,2022-12-19 20:31:03,54.65,-8.1167,45.01,78,51,20.22
106,Orotukan,RU,2022-12-19 20:31:03,62.2667,151.7,-2.58,99,100,5.17
107,Cherskiy,RU,2022-12-19 20:26:55,68.75,161.3,21.27,73,17,7.0
108,Sabzevar,IR,2022-12-19 20:31:04,36.2126,57.6819,41.59,61,0,0.76
109,Leshukonskoye,RU,2022-12-19 20:31:04,64.8989,45.7622,-9.63,100,99,2.37
110,Goias,BR,2022-12-19 20:31:05,-15.5807,-49.6362,73.36,91,86,6.46
111,Port Hardy,CA,2022-12-19 20:31:05,50.6996,-127.4199,23.18,68,75,16.11
112,Dikson,RU,2022-12-19 20:31:06,73.5069,80.5464,-19.07,98,61,0.43
113,Hambantota,LK,2022-12-19 20:31:06,6.1241,81.1185,75.65,85,74,10.11
114,Sigli,ID,2022-12-19 20:31:07,5.3848,95.9609,77.04,86,75,3.51
115,Upington,ZA,2022-12-19 20:31:07,-28.4478,21.2561,79.18,27,0,11.5
116,Sisimiut,GL,2022-12-19 20:31:07,66.9395,-53.6735,22.01,56,27,11.3
117,San Cristobal,VE,2022-12-19 20:31:08,7.7669,-72.225,75.38,53,90,2.53
118,Tancheng,CN,2022-12-19 20:31:08,27.4375,115.4976,39.25,53,23,1.92
119,Carballo,ES,2022-12-19 20:31:09,43.213,-8.691,60.49,93,100,12.57
120,Jaguarari,BR,2022-12-19 20:31:09,-10.2639,-40.1958,76.95,46,11,4.81
121,Paredon,MX,2022-12-19 20:31:10,16.0333,-93.8667,84.85,62,57,7.78
122,San Patricio,US,2022-12-19 20:31:10,28.017,-97.5169,53.47,88,100,12.73
123,Abu Dhabi,AE,2022-12-19 20:31:11,24.4667,54.3667,71.96,72,0,0.0
124,Limoux,FR,2022-12-19 20:31:11,42.9167,2.1667,51.1,93,100,4.94
125,Lar,IN,2022-12-19 20:31:12,26.2039,83.9717,57.29,52,10,5.77
126,Fort Nelson,CA,2022-12-19 20:30:56,58.8053,-122.7002,-33.21,68,0,0.0
127,Faanui,PF,2022-12-19 20:31:12,-16.4833,-151.75,79.66,74,100,12.37
128,Hermanus,ZA,2022-12-19 20:31:13,-34.4187,19.2345,58.8,74,100,6.76
129,Yenagoa,NG,2022-12-19 20:31:13,4.9247,6.2642,79.52,84,20,5.48
130,Viedma,AR,2022-12-19 20:31:14,-40.8135,-62.9967,83.16,30,72,25.3
131,Tautira,PF,2022-12-19 20:31:14,-17.7333,-149.15,78.84,77,99,10.38
132,Severo-Kurilsk,RU,2022-12-19 20:31:15,50.6789,156.125,28.8,91,98,34.02
133,Road Town,VG,2022-12-19 20:29:34,18.4167,-64.6167,82.49,74,20,5.75
134,Bethanien,NA,2022-12-19 20:31:15,-26.502,17.1583,70.56,37,0,9.46
135,Lavrentiya,RU,2022-12-19 20:31:16,65.5833,-171.0,14.67,78,67,5.86
136,Tres Arroyos,AR,2022-12-19 20:32:16,-38.3739,-60.2798,88.45,20,29,20.83
137,Singkawang,ID,2022-12-19 20:32:17,0.9,109.0,74.98,93,72,3.24
138,Barrow,US,2022-12-19 20:32:17,71.2906,-156.7887,5.02,85,100,6.91
139,Saint-Joseph,RE,2022-12-19 20:32:18,-21.3667,55.6167,77.38,78,49,9.57
140,Antofagasta,CL,2022-12-19 20:32:18,-23.65,-70.4,72.68,70,7,9.44
141,Manakara,MG,2022-12-19 20:32:18,-22.1333,48.0167,77.0,87,97,9.31
142,Barinitas,VE,2022-12-19 20:32:19,8.7622,-70.4111,85.48,58,100,2.93
143,Lodingen,NO,2022-12-19 20:32:19,68.414,15.9951,24.94,89,67,6.42
144,Suntar,RU,2022-12-19 20:32:20,62.1444,117.6319,-21.46,97,100,5.03
145,Hasaki,JP,2022-12-19 20:28:55,35.7333,140.8333,27.0,45,0,13.62
146,Aklavik,CA,2022-12-19 20:32:20,68.2191,-135.0107,-31.0,75,20,3.44
147,Shubarshi,KZ,2022-12-19 20:32:21,48.5872,57.1869,29.25,84,100,7.63
148,Vila Velha,BR,2022-12-19 20:30:54,-20.3297,-40.2925,73.35,98,100,2.3
149,Xichang,CN,2022-12-19 20:32:22,27.8964,102.2634,38.48,88,0,1.14
150,Ishinomaki,JP,2022-12-19 20:32:22,38.4167,141.3,31.57,81,31,7.56
151,Nanortalik,GL,2022-12-19 20:32:23,60.1432,-45.2371,18.91,64,6,8.19
152,Constitucion,CL,2022-12-19 20:32:23,-35.3333,-72.4167,62.08,61,1,7.29
153,Mahebourg,MU,2022-12-19 20:32:13,-20.4081,57.7,77.25,83,40,6.91
154,East London,ZA,2022-12-19 20:32:24,-33.0153,27.9116,66.42,83,100,12.26
155,Beidao,CN,2022-12-19 20:29:47,34.5686,105.8933,27.18,42,100,3.71
156,Chernyshevskiy,RU,2022-12-19 20:32:24,63.0128,112.4714,-28.71,99,100,2.42
157,Paamiut,GL,2022-12-19 20:32:26,61.994,-49.6678,16.36,72,1,11.56
158,Rocha,UY,2022-12-19 20:31:27,-34.4833,-54.3333,74.61,56,62,15.32
159,Acapulco,MX,2022-12-19 20:31:01,16.8634,-99.8901,85.82,58,0,8.05
160,Nanchong,CN,2022-12-19 20:32:27,30.7951,106.0847,47.93,59,100,4.21
161,El Alto,PE,2022-12-19 20:32:27,-4.2714,-81.2147,78.46,73,61,9.57
162,Pecos,US,2022-12-19 20:31:14,31.4229,-103.4932,66.29,26,0,18.41
163,Khatanga,RU,2022-12-19 20:32:28,71.9667,102.5,-14.98,99,100,7.38
164,Avarua,CK,2022-12-19 20:32:28,-21.2078,-159.775,78.85,78,75,9.22
165,Provideniya,RU,2022-12-19 20:32:28,64.3833,-173.3,26.71,74,75,13.42
166,Haines Junction,CA,2022-12-19 20:32:28,60.7522,-137.5108,-43.65,66,96,1.14
167,Te Anau,NZ,2022-12-19 20:32:29,-45.4167,167.7167,54.93,62,22,3.09
168,Tulun,RU,2022-12-19 20:32:29,54.5611,100.5792,10.49,90,100,7.0
169,Pevek,RU,2022-12-19 20:32:30,69.7008,170.3133,19.26,59,0,9.46
170,Beringovskiy,RU,2022-12-19 20:32:30,63.05,179.3167,32.07,88,100,24.85
171,Sovetskiy,RU,2022-12-19 20:32:31,61.3614,63.5842,13.95,96,100,4.72
172,Krasnopillya,UA,2022-12-19 20:32:31,50.7746,35.2597,19.9,81,20,8.84
173,Nikolskoye,RU,2022-12-19 20:32:32,59.7035,30.7861,33.69,96,100,7.27
174,Madimba,TZ,2022-12-19 20:32:32,-10.4,40.3333,80.58,82,59,11.63
175,Toamasina,MG,2022-12-19 20:32:32,-18.1667,49.3833,77.0,88,40,2.3
176,Manta,EC,2022-12-19 20:32:33,-0.95,-80.7333,78.58,69,40,10.36
177,Churapcha,RU,2022-12-19 20:32:33,62.0025,132.4325,-49.76,100,60,2.06
178,Vrangel,RU,2022-12-19 20:32:34,42.7297,133.0839,8.89,62,0,10.04
179,Dali,CN,2022-12-19 20:32:34,25.7,100.1833,39.25,86,0,4.63
180,Umm Lajj,SA,2022-12-19 20:32:35,25.0213,37.2685,77.04,50,0,6.53
181,Mahendranagar,NP,2022-12-19 20:32:35,28.9167,80.3333,56.43,67,22,4.68
182,Ambatondrazaka,MG,2022-12-19 20:32:36,-17.8333,48.4167,67.96,93,11,1.97
183,Lakes Entrance,AU,2022-12-19 20:32:36,-37.8811,147.981,53.17,74,42,2.77
184,Georgetown,MY,2022-12-19 20:31:34,5.4112,100.3354,78.73,84,20,6.91
185,Sfantu Gheorghe,RO,2022-12-19 20:33:36,45.8667,25.7833,23.94,58,0,4.03
186,Wanning,CN,2022-12-19 20:33:37,18.8003,110.3967,65.93,85,100,7.14
187,Ambulu,ID,2022-12-19 20:33:37,-8.345,113.6058,74.37,89,84,3.04
188,Kapaa,US,2022-12-19 20:33:38,22.0752,-159.319,69.78,78,100,5.01
189,Waipawa,NZ,2022-12-19 20:33:38,-41.4122,175.5153,55.94,95,100,6.35
190,Lokosovo,RU,2022-12-19 20:33:38,61.1333,74.8167,8.62,94,100,14.65
191,Tocantins,BR,2022-12-19 20:33:38,-10.5,-48.0,77.29,87,60,0.81
